tube	field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
203	RMB	8232	KU	309364	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	"Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan"			Q-241-E5	False	2007-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
113	CDS	1768	KU	305567	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	"Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station"	9.7111900	123.4488400	H-118-G1	False	2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
114	CWL	88	KU	305568	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	"Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station"	9.7136800	123.4467200	I-125-65	False	2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
115	CWL	89	KU	305569	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	"Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station"	9.7136800	123.4467200	I-125-66	False	2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
116	CWL	90	KU	305570	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	"Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station"	9.7120500	123.4430300	I-125-67	False	2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
136	PNM/CMNH H	1289			Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-143-H8	False		ku_freezer.txt
132	PNM/CMNH H	1290			Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-143-C9	False		ku_freezer.txt
131	PNM/CMNH H	1291			Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-143-B5	False		ku_freezer.txt
138	PNM/CMNH H	1292			Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-145-F9	False		ku_freezer.txt
133	PNM/CMNH H	1293			Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-143-D7	False		ku_freezer.txt
137	PNM/CMNH H	1298			Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-144-A4	False		ku_freezer.txt
130	PNM/CMNH H	1352			Cyrtodactylus	annulatus	Philippines	Mindanao		North Cotabato Province; Municipality of Kidapawan; Barangay Ilomavis; Mt Apo; Site 3			J-143-B4	False		ku_freezer.txt
129	PNM/CMNH H	1459			Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato Province; Municipality of Kiamba; Barangay Binati; Mt Busa; Site 1			J-141-F9	False		ku_freezer.txt
134	PNM/CMNH H	1601			Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotobato Province; Municipality of Kiamba; Barangay Banate; Mt Busa; Site 1			J-143-E6	False		ku_freezer.txt
135	PNM/CMNH H	1646			Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotobato Province; Municipality of Kiamba; Barangay Banate; Mt Busa; Site 1			J-143-F3	False		ku_freezer.txt
296	RMB	11229	KU	319651	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy"	7.0850000	122.0270000	V-317-G9	False	2009-04-03	ku_freezer.txt/ku_gekkonid_tissues.txt
297	RMB	11302	KU	319653	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy"	7.0850000	122.0270000	V-318-G1	False	2009-04-05	ku_freezer.txt/ku_gekkonid_tissues.txt
298	RMB	11309	KU	319659	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy"	7.0850000	122.0270000	V-318-G8	False	2009-04-05	ku_gekkonid_tissues.txt
302	RMB	11714	KU	319845	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-323-H2	False	2009-04-11	ku_freezer.txt/ku_gekkonid_tissues.txt
176	RMB	7716			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G5	False		ku_freezer.txt
178	RMB	7718			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G7	False		ku_freezer.txt
179	RMB	7719			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G8	False		ku_freezer.txt
180	RMB	7720			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G9	False		ku_freezer.txt
182	RMB	7722			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-H2	False		ku_freezer.txt
183	RMB	7724			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-H4	False		ku_freezer.txt
184	RMB	7725			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-H5	False		ku_freezer.txt
218	NOID	1			Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I4	False		ku_freezer.txt
219	NOID	2			Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I5	False		ku_freezer.txt
217	NOID				Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I3	False		ku_freezer.txt
236	SP	6891			Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3506			R-270-A8	False		ku_freezer.txt
237	SP	6892			Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3507			R-270-A9	True		ku_freezer.txt/gekkonid_lab_work.txt
238	SP	6906			Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3539			R-270-B1	True		ku_freezer.txt/gekkonid_lab_work.txt
229	RMB	8931	KU	326520	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H1	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
230	RMB	8932	KU	326521	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H2	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
231	RMB	8933	KU	326522	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H3	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
232	RMB	8934	KU	326523	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H4	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
233	RMB	8935	KU	326524	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H5	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
234	RMB	8936	KU	326525	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H6	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
235	RMB	8937	KU	326526	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H7	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
299	RMB	11591	KU	319657	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay Tulosa, Sitio Santa Clara, Cabo Negro Outpost"	7.1080000	122.1190000	V-322-C5	False	2009-04-08	ku_freezer.txt/ku_gekkonid_tissues.txt
300	RMB	11670	KU	319844	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay Tulosa, Sitio Santa Clara, Cabo Negro Outpost"	7.1080000	122.1190000	V-323-C3	False	2009-04-09	ku_freezer.txt/ku_gekkonid_tissues.txt
246	RMB	9207	KU	314807	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	S-284-H8	False	2008-07-09	ku_freezer.txt/ku_gekkonid_tissues.txt
247	RMB	9223	KU	314836	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	S-285-A3	False	2008-07-11	ku_freezer.txt/ku_gekkonid_tissues.txt
301	RMB	11712	KU	319658	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-323-G9	False	2009-04-11	ku_freezer.txt/ku_gekkonid_tissues.txt
303	RMB	11745	KU	319660	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-324-B5	False	2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
304	RMB	11746	KU	319661	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-324-B6	False	2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
305	RMB	11747	KU	319662	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-324-B7	False	2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
204	RMB	8416	KU	310112	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-243-G7	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
205	RMB	8417	KU	310098	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-243-G8	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
206	RMB	8418	KU	310099	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-243-G9	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
207	RMB	8427	KU	310100	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-243-H9	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
208	RMB	8436	KU	310101	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-243-I9	False	2007-08-03	ku_freezer.txt/ku_gekkonid_tissues.txt
209	RMB	8444	KU	310102	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-244-A8	False	2007-08-04	ku_freezer.txt/ku_gekkonid_tissues.txt
210	RMB	8445	KU	310103	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	"Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)"	10.3436833	125.6181167	Q-244-A9	False	2007-08-04	ku_freezer.txt/ku_gekkonid_tissues.txt
89	RMB	5905	KU	304784	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro, Local Name ""Asked"""			H-111-A3	True	2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
90	RMB	5906	KU	304785	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro, Local Name ""Asked"""			H-111-A4	False	2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt
91	RMB	5907	KU	304786	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro, Local Name ""Asked"""			H-111-A5	True	2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
80	RMB	5754	KU	304634	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-B3	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
81	RMB	5755	KU	304635	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-B4	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
82	RMB	5756	KU	304636	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-B5	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
83	RMB	5757	KU	304637	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-B6	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
85	RMB	5791	KU	304671	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-F7	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
86	RMB	5792	KU	304672	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-F8	False	2006-03-08	ku_freezer.txt/ku_gekkonid_tissues.txt
88	RMB	5811	KU	304690	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.9292700	121.8988100	H-109-H9	False	2006-03-09	ku_freezer.txt/ku_gekkonid_tissues.txt
282	CDS	3751	KU	320346	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	"Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay"	13.7999500	120.1639300	U-311-C1	False		ku_freezer.txt/ku_gekkonid_tissues.txt
283	CDS	3752	KU	320347	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	"Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay"	13.7999500	120.1639300	U-311-C2	False		ku_freezer.txt/ku_gekkonid_tissues.txt
284	CDS	3781	KU	320348	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	"Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay"	13.7999500	120.1639300	U-311-F1	False		ku_freezer.txt/ku_gekkonid_tissues.txt
285	CDS	3793	KU	320349	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	"Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay"	13.7999500	120.1639300	U-311-G4	False		ku_freezer.txt/ku_gekkonid_tissues.txt
289	CDS	3869	KU	320350	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	"Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay"	13.7999500	120.1639300	U-312-F9	False		ku_freezer.txt/ku_gekkonid_tissues.txt
292	CDS	3932	KU	320351	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	"Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay"	13.7999500	120.1639300	U-313-D8	False		ku_freezer.txt/ku_gekkonid_tissues.txt
352	RMB	13669	KU	328804	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.4050800	123.6388200	Z-380-I6	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
353	RMB	13670	KU	328805	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.4050800	123.6388200	Z-380-I7	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
354	RMB	13713	KU	328806	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.4050800	123.6388200	Z-381-E5	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
355	RMB	13719	KU	328807	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.4050800	123.6388200	Z-381-F2	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
356	RMB	13720	KU	328808	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.4050800	123.6388200	Z-381-F3	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
357	RMB	13721	KU	328809	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.4050800	123.6388200	Z-381-F4	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
281	RMB	12790	KU	323188	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	U-310-G6	False	2009-06-12	ku_freezer.txt/ku_gekkonid_tissues.txt
310	RMB	12834	KU	323189	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	W-343-C5	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
311	RMB	12835	KU	323190	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	W-343-C6	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
312	RMB	12836	KU	323191	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	W-343-C7	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
313	RMB	12837	KU	323192	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	W-343-C8	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
314	RMB	12838	KU	323193	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	W-343-C9	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
315	RMB	12845	KU	323194	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest"	15.6800000	121.5290000	W-343-D7	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
393	RMB	13902	KU	329346	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-417-F6	False	2011-06-08	ku_freezer.txt/ku_gekkonid_tissues.txt
394	RMB	13961	KU	329348	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-418-C9	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
395	RMB	13962	KU	329349	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-418-D1	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
396	RMB	13963	KU	329350	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-418-D2	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
397	RMB	13964	KU	329351	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-418-D3	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
398	RMB	13965	KU	329352	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-418-D4	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
399	RMB	13966	KU	329353	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed"	15.0333000	121.2032000	AB-418-D5	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
386	RMB	14955	KU	330190	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua"	18.2360000	122.1040000	AB-413-D2	False	2011-07-20	ku_freezer.txt/ku_gekkonid_tissues.txt
387	RMB	14956	KU	330191	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua"	18.2360000	122.1040000	AB-413-D3	False	2011-07-20	ku_freezer.txt/ku_gekkonid_tissues.txt
388	RMB	15052	KU	330192	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua"	18.2360000	122.1040000	AB-414-E8	False	2011-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
389	RMB	15053	KU	330193	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua"	18.2360000	122.1040000	AB-414-E9	False	2011-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
390	RMB	15119	KU	330195	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua"	18.2360000	122.1040000	AB-415-C8	False	2011-07-26	ku_freezer.txt/ku_gekkonid_tissues.txt
