
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
CDS_278_Gekko_mindorensis_Negros.trimmed	9648	2.623	4.735	730	10.116	14.792	0
CDS_2844_Cyrtodactylus_sumuroi_Samar.trimmed	249263	23.038	116.67	61588	87.477	222.646	0
CDS_2967_Cyrtodactylus_sumuroi_Samar.trimmed	42878	8.905	16.847	17671	18.731	22.849	0
CDS_2984_Cyrtodactylus_sumuroi_Samar.trimmed	68469	11.38	32.942	24819	28.066	50.541	0
CDS_3030_Cyrtodactylus_sumuroi_Samar.trimmed	41935	6.374	11.903	15102	13.937	17.347	0
CDS_3047_Cyrtodactylus_sumuroi_Samar.trimmed	2805	1.297	1.904	30	14.6	11.569	0
CDS_31_Gekko_gigante_SouthGigante.trimmed	20719	3.748	8.72	3982	10.473	18.233	0
CDS_3751_Cyrtodactylus_philippinicus_Lubang.trimmed	30799	3.765	6.209	6058	11.113	11.061	0
CDS_3752_Cyrtodactylus_philippinicus_Lubang.trimmed	9747	1.496	1.208	93	9.183	5.255	0
CDS_3793_Cyrtodactylus_philippinicus_Lubang.trimmed	31624	3.679	5.487	6106	10.859	9.247	0
CDS_3866_Gekko_mindorensis_Lubang.trimmed	51634	7.908	26.722	18056	19.025	43.001	0
CDS_3867_Gekko_mindorensis_Lubang.trimmed	48015	8.904	32.352	18124	20.392	50.579	0
CDS_3868_Gekko_mindorensis_Lubang.trimmed	1571	2.069	2.518	80	10.025	6.164	0
CDS_3869_Cyrtodactylus_philippinicus_Lubang.trimmed	11183	1.577	1.666	158	9.747	8.992	0
CDS_3932_Cyrtodactylus_philippinicus_Lubang.trimmed	40415	5.72	9.897	11996	14.733	14.518	0
CDS_3935_Gekko_mindorensis_Lubang.trimmed	112016	20.033	97.126	32024	65.486	173.494	0
CDS_3936_Gekko_mindorensis_Lubang.trimmed	41232	7.031	22.571	14875	15.863	35.877	0
CDS_4341_Cyrtodactylus_philippinicus_Negros.trimmed	59554	11.026	29.536	21633	27.062	44.668	0
CDS_4342_Cyrtodactylus_philippinicus_Negros.trimmed	13338	3.127	6.408	1334	12.668	17.207	0
CDS_4384_Cyrtodactylus_philippinicus_Negros.trimmed	31996	5.012	9.687	9508	11.375	15.929	0
CDS_4485_Cyrtodactylus_annulatus_Bohol.trimmed	36882	4.245	6.2	8448	12.066	9.122	0
CDS_4658_Cyrtodactylus_annulatus_Bohol.trimmed	20809	2.213	2.638	1371	8.922	6.365	0
CDS_4659_Cyrtodactylus_annulatus_Bohol.trimmed	33965	4.512	6.801	8198	12.52	10.11	0
CDS_4660_Cyrtodactylus_annulatus_Bohol.trimmed	30947	3.458	4.477	5603	10.241	6.889	0
CDS_46_Gekko_gigante_SouthGigante.trimmed	70820	11.463	52.882	22549	32.104	90.305	0
CDS_49_Gekko_gigante_NorthGigante.trimmed	61992	10.985	38.372	21218	28.561	61.882	0
CDS_50_Gekko_gigante_NorthGigante.trimmed	14511	2.868	7.043	1387	10.052	21.151	0
CDS_51_Gekko_gigante_NorthGigante.trimmed	115121	13.209	76.423	28555	47.823	148.151	0
CDS_53_Gekko_gigante_NorthGigante.trimmed	86538	10.534	64.115	24039	33.296	118.649	0
CDS_55_Gekko_gigante_SouthGigante.trimmed	62505	9.227	42.607	20247	24.692	72.44	0
CDS_5627_Cyrtodactylus_philippinicus_Luzon.trimmed	25313	2.602	3.437	2562	9.455	7.247	0
CDS_5724_Cyrtodactylus_philippinicus_Luzon.trimmed	47301	6.132	11.066	14308	16.013	16.168	0
CDS_5727_Cyrtodactylus_philippinicus_Luzon.trimmed	9515	1.793	4.514	250	16.528	23.027	0
CDS_5822_Cyrtodactylus_philippinicus_Luzon.trimmed	37619	4.775	7.527	9743	12.864	11.219	0
CDS_5823_Cyrtodactylus_philippinicus_Luzon.trimmed	52711	6.894	13.388	16663	17.969	19.613	0
CDS_590_Gekko_mindorensis_Caluya.trimmed	71490	9.791	45.273	21314	28.67	79.775	0
CDS_591_Gekko_mindorensis_Caluya.trimmed	86020	12.109	51.83	24386	38.233	92.304	0
CDS_6047_Gekko_mindorensis_Luzon.trimmed	105783	12.429	48.596	27219	43.173	88.892	0
CDS_6051_Gekko_mindorensis_Luzon.trimmed	46230	7.908	21.078	16806	18.394	32.353	0
CDS_6052_Gekko_mindorensis_Luzon.trimmed	90592	15.136	61.416	25349	49.578	108.765	0
CDS_6054_Gekko_mindorensis_Luzon.trimmed	61961	9.947	31.419	20590	26.199	50.718	0
CDS_607_Gekko_mindorensis_Caluya.trimmed	29700	5.069	15.03	8721	11.84	26.457	0
CDS_609_Gekko_mindorensis_Caluya.trimmed	163927	18.697	104.877	38706	73.329	206.572	0
CDS_610_Gekko_mindorensis_Caluya.trimmed	97101	13.925	69.409	26606	46.088	127.098	0
CDS_63_Gekko_mindorensis_Panay.trimmed	43124	31.465	118.576	23425	56.435	156.583	0
CDS_64_Gekko_mindorensis_Panay.trimmed	47787	34.365	127.587	23295	68.759	176.307	0
CDS_65_Gekko_mindorensis_Panay.trimmed	60987	47.849	226.936	26170	109.41	336.715	0
CDS_66_Gekko_mindorensis_Panay.trimmed	31586	13.676	43.745	17848	22.62	56.58	0
CDS_754_Gekko_mindorensis_Masbate.trimmed	12874	2.551	2.769	926	8.909	6.733	0
CDS_755_Gekko_mindorensis_Masbate.trimmed	47792	36.248	144.991	24067	70.302	198.517	0
CDS_757_Gekko_mindorensis_Masbate.trimmed	26801	7.286	21.433	11670	13.717	31.293	0
CDS_758_Gekko_mindorensis_Masbate.trimmed	57194	45.296	126.602	25363	100.161	175.311	0
CDS_788_Gekko_romblon_Romblon.trimmed	28260	11.884	20.224	15980	19.288	24.408	0
CDS_789_Gekko_romblon_Romblon.trimmed	25583	7.875	14.154	12017	14.176	18.694	0
CDS_790_Gekko_romblon_Romblon.trimmed	27017	10.134	15.943	13913	17.544	19.457	0
CDS_791_Gekko_romblon_Romblon.trimmed	26969	7.498	11.984	12315	13.653	15.573	0
CDS_792_Gekko_romblon_Romblon.trimmed	21295	5.718	7.375	7858	11.296	9.737	0
CDS_99_Gekko_mindorensis_CamiguinSur.trimmed	222536	18.676	498.266	47388	80.763	1077.486	0
CWL_88_Cyrtodactylus_annulatus_Cebu.trimmed	9744	1.542	1.159	138	7.79	2.947	0
CWL_89_Cyrtodactylus_annulatus_Cebu.trimmed	32876	3.772	5.189	6709	11.046	7.715	0
CWL_90_Cyrtodactylus_annulatus_Cebu.trimmed	22147	2.588	3.068	2210	9.292	5.671	0
ELR_1007_Gekko_mindorensis_Mindoro.trimmed	17674	3.582	8.336	2888	9.998	19.165	0
ELR_1008_Gekko_mindorensis_Mindoro.trimmed	20519	5.405	11.425	6681	11.498	18.493	0
ELR_1009_Gekko_mindorensis_Mindoro.trimmed	7308	2.124	2.945	274	9.993	11.784	0
ELR_1010_Gekko_mindorensis_Mindoro.trimmed	23949	6.722	15.374	9974	12.695	22.443	0
ELR_681_Cyrtodactylus_philippinicus_Mindoro.trimmed	60416	10.214	21.467	21157	25.869	30.598	0
ELR_682_Cyrtodactylus_philippinicus_Mindoro.trimmed	99413	11.961	29.315	27961	37.94	45.969	0
ELR_911_Gekko_mindorensis_Mindoro.trimmed	7362	2.266	3.393	281	11.149	13.797	0
KUFS_13_Gekko_chinensis_China.trimmed	79352	11.851	184.035	22689	37.097	342.864	0
KUFS_14_Gekko_chinensis_China.trimmed	116721	14.21	95.761	30008	50.06	184.214	0
KUFS_16_Gekko_chinensis_China.trimmed	179943	18.769	215.581	40408	77.319	450.039	0
KUFS_17_Gekko_chinensis_China.trimmed	143899	16.485	291.17	34596	62.831	591.442	0
LSUHC_5042_Ptychozoon_kuhli_PulauTioman.trimmed	32338	14.546	25.416	17847	24.649	30.68	0
LSUHC_7289_Gekko_monarchus_PulauAur.trimmed	23250	5.003	19.147	6760	11.571	34.577	0
NOSERIES_3835_Ptychozoon_kuhli_PulauTioman.trimmed	25929	5.597	9.779	9375	11.273	14.514	0
NOSERIES_4679_Ptychozoon_kuhli_PulauTioman.trimmed	23103	5.069	7.892	7520	10.498	11.986	0
NOSERIES_6433_Ptychozoon_kuhli_PulauTioman.trimmed	15063	3.426	4.426	2488	9.228	8.358	0
PNM.CMNH_1289_Cyrtodactylus_annulatus_Mindanao.trimmed	7570	1.616	4.288	107	16.336	32.243	0
PNM.CMNH_1292_Cyrtodactylus_annulatus_Mindanao.trimmed	5412	1.521	3.759	58	19.879	30.573	0
PNM.CMNH_1293_Cyrtodactylus_annulatus_Mindanao.trimmed	3036	1.266	1.919	22	15.182	16.865	0
PNM.CMNH_1298_Cyrtodactylus_annulatus_Mindanao.trimmed	8918	1.712	6.116	136	19.169	45.828	0
RMB_11229_Cyrtodactylus_annulatus_Mindanao.trimmed	5993	1.355	1.919	33	13.333	21.178	0
RMB_11302_Cyrtodactylus_annulatus_Mindanao.trimmed	14302	1.619	1.544	264	9.432	5.371	0
RMB_11309_Cyrtodactylus_annulatus_Mindanao.trimmed	49142	4.982	32.399	9860	17.133	70.999	0
RMB_11591_Cyrtodactylus_jambangan_Mindanao.trimmed	14715	1.764	1.57	408	8.164	3.916	0
RMB_11670_Cyrtodactylus_jambangan_Mindanao.trimmed	38575	4.014	5.694	8318	11.7	8.337	0
RMB_11714_Cyrtodactylus_annulatus_Mindanao.trimmed	16343	2.046	4.48	808	9.593	18.059	0
RMB_11746_Cyrtodactylus_jambangan_Mindanao.trimmed	25470	2.36	2.6	2087	8.759	4.858	0
RMB_12536_Gehyra_mutilata_Luzon.trimmed	129324	17.839	90.962	29061	73.182	181.287	0
RMB_12578_Gehyra_mutilata_Luzon.trimmed	4955	1.752	1.369	91	7.967	3.326	0
RMB_12582_Gehyra_mutilata_Luzon.trimmed	47691	11.96	30.378	16186	31.693	46.118	0
RMB_12584_Gehyra_mutilata_Luzon.trimmed	78631	19.694	60.853	23227	62.222	99.83	0
RMB_12834_Cyrtodactylus_philippinicus_Luzon.trimmed	27232	3.039	4.6	3811	9.824	9.406	0
RMB_12835_Cyrtodactylus_philippinicus_Luzon.trimmed	23738	2.754	3.697	2717	9.512	7.548	0
RMB_12836_Cyrtodactylus_philippinicus_Luzon.trimmed	45169	6.597	11.643	14404	16.576	16.601	0
RMB_12837_Cyrtodactylus_philippinicus_Luzon.trimmed	44699	5.905	10.321	13283	15.404	15.046	0
RMB_12838_Cyrtodactylus_philippinicus_Luzon.trimmed	25728	2.827	4.435	3050	9.596	10.154	0
RMB_13366_Cyrtodactylus_philippinicus_Luzon.trimmed	34357	4.005	6.904	7250	11.793	11.965	0
RMB_13367_Cyrtodactylus_philippinicus_Luzon.trimmed	12764	1.634	1.657	258	8.942	6.697	0
RMB_13510_Cyrtodactylus_philippinicus_Luzon.trimmed	23913	2.672	3.726	2515	9.463	8.284	0
RMB_13551_Hemidactylus_frenatus_Luzon.trimmed	8810	1.776	2.09	227	10.652	7.749	0
RMB_13552_Hemidactylus_frenatus_Luzon.trimmed	30680	15.955	22.269	17923	25.887	24.709	0
RMB_13553_Hemidactylus_frenatus_Luzon.trimmed	8539	2.408	3.211	527	8.894	10.121	0
RMB_13571_Cyrtodactylus_philippinicus_Luzon.trimmed	18785	2.041	2.405	893	8.847	7.129	0
RMB_13579_Hemidactylus_frenatus_Luzon.trimmed	1163	1.575	0.911	10	6.7	0.9	0
RMB_13588_Gekko_carusadensis_Luzon.trimmed	4960	2.273	3.361	243	11.222	11.138	0
RMB_13589_Gekko_carusadensis_Luzon.trimmed	73648	9.493	33.519	22306	27.132	57.096	0
RMB_13590_Gekko_carusadensis_Luzon.trimmed	9126	2.741	4.38	737	10.817	12.263	0
RMB_13591_Gekko_carusadensis_Luzon.trimmed	38978	5.22	17.044	11321	13.214	30.103	0
RMB_13651_Cyrtodactylus_philippinicus_Luzon.trimmed	27390	3.036	4.772	3774	10.067	9.935	0
RMB_13652_Cyrtodactylus_philippinicus_Luzon.trimmed	11920	1.831	2.886	377	10.483	12.625	0
RMB_13654_Cyrtodactylus_philippinicus_Luzon.trimmed	26378	2.712	4.096	2875	9.696	9.374	0
RMB_13657_Gekko_mindorensis_Luzon.trimmed	48220	8.027	22.33	16544	19.811	35.201	0
RMB_13659_Gekko_mindorensis_Luzon.trimmed	104339	10.811	45.83	26157	37.787	86.042	0
RMB_13660_Gekko_mindorensis_Luzon.trimmed	76164	9.73	34.46	21860	29.417	59.92	0
RMB_13661_Gekko_mindorensis_Luzon.trimmed	54885	8.8	20.865	17829	23.285	32.039	0
RMB_13662_Gekko_mindorensis_Luzon.trimmed	13804	2.615	4.193	1035	9.417	12.926	0
RMB_13664_Cyrtodactylus_philippinicus_Luzon.trimmed	22878	2.416	3.782	1834	9.671	10.332	0
RMB_13669_Cyrtodactylus_philippinicus_Luzon.trimmed	48047	6.339	11.54	14877	16.385	16.754	0
RMB_13670_Cyrtodactylus_philippinicus_Luzon.trimmed	29806	3.176	5.092	4494	10.311	10.171	0
RMB_13713_Cyrtodactylus_philippinicus_Luzon.trimmed	15346	1.769	2.162	444	9.045	8.86	0
RMB_13719_Cyrtodactylus_philippinicus_Luzon.trimmed	15577	1.924	2.131	629	8.79	6.265	0
RMB_13764_Gekko_gecko_Luzon.trimmed	212819	18.141	107.994	48691	73.068	216.93	0
RMB_13766_Gekko_gecko_Luzon.trimmed	67362	9.02	58.558	21466	24.459	102.02	0
RMB_13767_Gekko_gecko_Luzon.trimmed	58510	8.248	50.623	20193	20.274	84.864	0
RMB_13768_Gekko_gecko_Luzon.trimmed	34257	5.555	30.697	10085	13.805	55.68	0
RMB_13770_Gekko_gecko_Luzon.trimmed	107140	11.316	55.327	28486	37.619	102.796	0
RMB_13902_Cyrtodactylus_philippinicus_Luzon.trimmed	30977	3.355	4.871	5205	10.48	8.534	0
RMB_13961_Cyrtodactylus_philippinicus_Luzon.trimmed	36184	4.083	6.398	7752	12.14	10.147	0
RMB_13964_Cyrtodactylus_philippinicus_Luzon.trimmed	37626	4.207	6.573	8572	12.01	10.274	0
RMB_13966_Cyrtodactylus_philippinicus_Luzon.trimmed	21887	2.372	3.405	1683	9.324	9.135	0
RMB_14180_Cyrtodactylus_philippinicus_Luzon.trimmed	16749	1.991	2.554	734	9.187	8.501	0
RMB_14249_Cyrtodactylus_philippinicus_Luzon.trimmed	7271	1.377	1.099	44	9.977	6.949	0
RMB_14310_Cyrtodactylus_philippinicus_Luzon.trimmed	30322	3.572	5.802	5488	10.948	10.607	0
RMB_14453_Cyrtodactylus_philippinicus_Luzon.trimmed	40572	5.087	8.263	11400	13.268	12.081	0
RMB_14956_Cyrtodactylus_philippinicus_Luzon.trimmed	6274	1.352	1.02	46	8.761	5.502	0
RMB_15052_Cyrtodactylus_philippinicus_Luzon.trimmed	7919	1.376	1.291	55	11.6	8.416	0
RMB_15119_Cyrtodactylus_philippinicus_Luzon.trimmed	28170	3.177	4.557	4386	9.804	8.539	0
RMB_15211_Cyrtodactylus_philippinicus_Luzon.trimmed	1118	1.209	0.581	2	8.0	2.0	0
RMB_15212_Cyrtodactylus_philippinicus_Luzon.trimmed	25831	2.73	3.635	2872	9.542	7.441	0
RMB_3118_Gekko_athymus_Palawan.trimmed	90452	12.766	44.237	25580	40.625	76.382	0
RMB_5005_Gekko_mindorensis_Mindoro.trimmed	28792	9.643	24.504	13805	17.742	33.531	0
RMB_5006_Gekko_mindorensis_Mindoro.trimmed	25396	7.704	19.849	11923	13.717	27.728	0
RMB_5184_Cyrtodactylus_philippinicus_Sibuyan.trimmed	57174	8.283	17.074	19079	21.101	24.983	0
RMB_5185_Cyrtodactylus_philippinicus_Sibuyan.trimmed	130700	11.519	34.444	30932	42.864	61.007	0
RMB_5728_Gekko_sp.b_CamiguinNorte.trimmed	33478	16.145	31.939	19280	26.574	38.905	0
RMB_5729_Gekko_sp.b_CamiguinNorte.trimmed	9668	2.445	3.638	580	9.847	11.924	0
RMB_5730_Gekko_sp.b_CamiguinNorte.trimmed	28840	11.877	23.423	16393	19.263	28.938	0
RMB_5737_Gekko_sp.b_CamiguinNorte.trimmed	27585	11.38	18.659	15435	18.573	22.432	0
RMB_5754_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	45792	6.266	10.92	14232	16.15	15.453	0
RMB_5755_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	34845	4.324	7.179	8369	11.873	11.6	0
RMB_5757_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	36647	4.694	7.896	9435	12.662	12.332	0
RMB_5793_Gekko_sp.b_CamiguinNorte.trimmed	47727	34.48	88.646	23629	67.976	116.828	0
RMB_5811_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	42593	5.473	9.667	12153	14.531	14.455	0
RMB_5905_Cyrtodactylus_philippinicus_BabuyanClaro.trimmed	38725	4.712	7.918	9747	13.155	12.218	0
RMB_5906_Cyrtodactylus_philippinicus_BabuyanClaro.trimmed	15527	2.02	2.3	685	8.939	6.789	0
RMB_5907_Cyrtodactylus_philippinicus_BabuyanClaro.trimmed	1404	1.164	0.478	2	6.0	0.0	0
RMB_5945_Luperosaurus_macgregori_BabuyanClaro.trimmed	33833	15.961	26.206	18559	27.495	30.918	0
RMB_5949_Luperosaurus_macgregori_BabuyanClaro.trimmed	33748	15.821	24.431	19355	26.082	28.154	0
RMB_5953_Gekko_crombota_BabuyanClaro.trimmed	62773	9.164	57.709	20259	24.585	99.826	0
RMB_5954_Gekko_crombota_BabuyanClaro.trimmed	61409	11.725	105.587	21402	30.151	177.384	0
RMB_5955_Luperosaurus_macgregori_BabuyanClaro.trimmed	41823	23.844	43.529	22736	42.352	52.285	0
RMB_5967_Luperosaurus_macgregori_BabuyanClaro.trimmed	19503	4.469	5.607	5209	10.104	8.336	0
RMB_5968_Gekko_crombota_BabuyanClaro.trimmed	23140	4.177	20.157	5109	11.185	42.085	0
RMB_5969_Gekko_crombota_BabuyanClaro.trimmed	192967	19.468	261.177	43524	80.034	545.608	0
RMB_5970_Gekko_crombota_BabuyanClaro.trimmed	35526	5.558	34.413	10945	13.474	61.234	0
RMB_5971_Luperosaurus_macgregori_BabuyanClaro.trimmed	31419	11.952	26.532	17095	20.178	33.822	0
RMB_6052_Gekko_rossi_Calayan.trimmed	23099	7.801	18.161	10456	14.269	25.492	0
RMB_6056_Gekko_rossi_Calayan.trimmed	41150	27.377	97.987	22621	48.382	128.395	0
RMB_6058_Gekko_rossi_Calayan.trimmed	22850	6.545	21.744	9359	12.488	33.041	0
RMB_6059_Gekko_rossi_Calayan.trimmed	30048	12.871	34.46	17032	21.102	44.014	0
RMB_6060_Gekko_rossi_Calayan.trimmed	19672	5.51	11.048	6475	11.83	17.535	0
RMB_6259_Cyrtodactylus_philippinicus_Polillo.trimmed	118829	15.765	45.428	32234	53.31	75.298	0
RMB_6260_Cyrtodactylus_philippinicus_Polillo.trimmed	60421	8.237	18.416	19113	22.151	28.037	0
RMB_6261_Cyrtodactylus_philippinicus_Polillo.trimmed	106709	12.196	30.364	28680	40.494	48.286	0
RMB_6314_Pseudogekko_smaragdinus_Polillo.trimmed	30081	17.371	23.785	17350	28.665	26.044	0
RMB_6317_Pseudogekko_smaragdinus_Polillo.trimmed	22304	5.012	5.484	7368	10.499	6.499	0
RMB_6318_Pseudogekko_smaragdinus_Polillo.trimmed	13338	2.803	2.591	1468	8.138	4.068	0
RMB_6319_Pseudogekko_smaragdinus_Polillo.trimmed	4463	1.826	1.476	93	8.376	4.407	0
RMB_6320_Pseudogekko_smaragdinus_Polillo.trimmed	24273	10.552	12.153	13576	17.108	12.847	0
RMB_6332_Cyrtodactylus_philippinicus_Polillo.trimmed	45664	6.136	10.662	14987	14.701	15.295	0
RMB_6369_Gekko_sp.a_Dalupiri.trimmed	19109	3.512	7.814	3151	9.689	17.775	0
RMB_6370_Gekko_sp.a_Dalupiri.trimmed	27734	12.214	23.965	14821	20.954	30.151	0
RMB_6372_Gekko_sp.a_Dalupiri.trimmed	9847	2.65	4.047	790	9.449	11.779	0
RMB_6373_Gekko_sp.a_Dalupiri.trimmed	26978	5.061	9.277	8112	11.483	14.931	0
RMB_6374_Gekko_sp.a_Dalupiri.trimmed	33866	15.667	35.202	18596	26.932	44.429	0
RMB_6425_Gekko_mindorensis_Panay.trimmed	33466	17.732	56.447	18785	30.087	72.988	0
RMB_6431_Gekko_mindorensis_Panay.trimmed	27030	8.197	33.658	12796	14.717	48.065	0
RMB_6447_Cyrtodactylus_philippinicus_Mindoro.trimmed	163321	15.499	87.205	37648	61.248	173.971	0
RMB_6448_Gekko_mindorensis_Panay.trimmed	40810	24.865	95.36	22150	44.327	126.193	0
RMB_6449_Gekko_mindorensis_Panay.trimmed	41952	30.361	118.243	22043	56.248	158.732	0
RMB_6455_Cyrtodactylus_philippinicus_Mindoro.trimmed	147212	19.22	86.357	37548	70.161	160.472	0
RMB_6479_Gekko_mindorensis_Panay.trimmed	15247	3.323	9.184	1995	10.251	24.053	0
RMB_6628_Cyrtodactylus_philippinicus_Mindoro.trimmed	152435	14.203	65.718	35238	55.526	128.287	0
RMB_7646_Cyrtodactylus_tautbatorum_Palawan.trimmed	117942	11.71	28.183	29894	40.967	44.533	0
RMB_7647_Cyrtodactylus_tautbatorum_Palawan.trimmed	193667	18.149	58.907	45959	70.507	104.993	0
RMB_7649_Cyrtodactylus_tautbatorum_Palawan.trimmed	89401	11.704	25.576	26218	35.541	37.727	0
RMB_7650_Cyrtodactylus_tautbatorum_Palawan.trimmed	44249	7.5	10.776	16927	16.445	13.093	0
RMB_7716_Cyrtodactylus_annulatus_Palawan.trimmed	18934	2.138	2.182	1100	8.345	4.675	0
RMB_7720_Cyrtodactylus_annulatus_Palawan.trimmed	20387	2.246	2.362	1401	8.564	4.643	0
RMB_7721_Cyrtodactylus_tautbatorum_Palawan.trimmed	30494	4.287	5.008	8124	10.023	6.657	0
RMB_7722_Cyrtodactylus_annulatus_Palawan.trimmed	3992	1.257	0.645	10	6.7	1.269	0
RMB_7724_Cyrtodactylus_annulatus_Palawan.trimmed	24527	2.661	3.105	2654	9.157	5.485	0
RMB_7725_Cyrtodactylus_annulatus_Palawan.trimmed	14214	1.751	1.478	328	8.003	4.008	0
RMB_7757_Cyrtodactylus_redimiculus_Palawan.trimmed	37081	5.346	7.709	12251	11.905	10.582	0
RMB_7798_Gekko_athymus_Palawan.trimmed	57139	8.175	25.074	18190	21.759	41.245	0
RMB_7828_Gekko_athymus_Palawan.trimmed	165176	20.285	103.967	40834	76.514	198.795	0
RMB_7830_Gekko_athymus_Palawan.trimmed	28533	4.053	7.843	6694	10.19	14.394	0
RMB_7831_Gekko_athymus_Palawan.trimmed	91436	12.806	47.52	26012	40.47	82.854	0
RMB_7842_Cyrtodactylus_redimiculus_Palawan.trimmed	87164	11.302	27.733	25014	34.982	43.479	0
RMB_7859_Cyrtodactylus_redimiculus_Palawan.trimmed	210219	16.47	55.7	45730	69.109	103.517	0
RMB_7873_Cyrtodactylus_redimiculus_Palawan.trimmed	44799	5.825	8.894	14927	13.393	12.171	0
RMB_7922_Gekko_monarchus_Palawan.trimmed	25298	8.401	82.508	11600	15.524	121.451	0
RMB_7923_Gekko_monarchus_Palawan.trimmed	13995	3.386	18.434	1837	11.046	50.109	0
RMB_7924_Gekko_monarchus_Palawan.trimmed	11742	2.725	14.079	763	12.225	54.168	0
RMB_7937_Gekko_monarchus_Palawan.trimmed	18188	4.295	35.498	3831	11.58	76.869	0
RMB_7938_Gekko_monarchus_Palawan.trimmed	28280	12.6	94.702	15889	20.679	125.746	0
RMB_8043_Cyrtodactylus_annulatus_CamiguinSur.trimmed	46076	6.757	11.621	14521	17.433	16.088	0
RMB_8201_Cyrtodactylus_annulatus_CamiguinSur.trimmed	19529	2.13	2.207	1131	8.505	4.687	0
RMB_8220_Cyrtodactylus_annulatus_CamiguinSur.trimmed	36770	4.5	6.496	9285	12.121	9.208	0
RMB_8232_Cyrtodactylus_annulatus_CamiguinSur.trimmed	35288	3.789	5.71	7075	11.242	9.325	0
RMB_8416_Cyrtodactylus_mamanwa_Dinagat.trimmed	39098	4.157	7.112	8622	12.137	11.929	0
RMB_8417_Cyrtodactylus_mamanwa_Dinagat.trimmed	10098	1.513	1.425	120	9.608	7.223	0
RMB_8418_Cyrtodactylus_mamanwa_Dinagat.trimmed	51640	6.997	13.073	16338	18.16	18.834	0
RMB_8444_Cyrtodactylus_mamanwa_Dinagat.trimmed	53741	6.335	11.683	16048	16.997	17.079	0
RMB_8445_Cyrtodactylus_mamanwa_Dinagat.trimmed	26494	2.761	3.991	3009	9.691	8.664	0
RMB_8754_Gekko_romblon_Tablas.trimmed	16508	3.264	7.008	2315	9.275	17.266	0
RMB_8761_Cyrtodactylus_philippinicus_Tablas.trimmed	183795	18.254	63.221	41753	74.257	116.325	0
RMB_8762_Cyrtodactylus_philippinicus_Tablas.trimmed	14781	2.632	3.094	1410	8.906	6.559	0
RMB_8765_Gekko_romblon_Tablas.trimmed	49395	16.924	31.038	22623	34.95	38.763	0
RMB_8789_Gekko_romblon_Tablas.trimmed	23192	6.289	15.038	9416	11.87	22.4	0
