Dewar	Tower	Box	Cell	Field Number	Genus	Species	Country	Island	Province	Municipality	Barangay	Local Area Name	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12															
	E	73	36	CDS 1117	Brachymeles	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	37	CDS 1118	Brachymeles	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	38	CDS 1119	Lamprolepis	smaragdina	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	39	CDS 1120	Hemidactylus	frenatus	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	40	CDS 1121	Hemidactylus	sp.	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	41	CDS 1122	Hemidactylus	sp.	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	42	CDS 1123	Hemidactylus	sp.	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	43	CDS 1124	Platymantis	dorsalis	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	44	CDS 1125	Limnonectes	macrocephalus	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	45	CDS 1126	Elaphe	erythrura	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	46	CDS 1127	Cerberus	rynchops	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	47	CDS 1128	Cerberus	rynchops	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	48	CDS 1129	Cerberus	rynchops	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	49	CDS 1130	Ahaetulla	prasina	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	50	CDS 1131	Ahaetulla	prasina	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	51	CDS 1132	Ahaetulla	prasina	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	52	CDS 1133	Sphenomorphus	sp.	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	53	CDS 1134	Rana	vittigera	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	54	CDS 1135	Rana	vittigera	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	55	CDS 1136	Rana	vittigera	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	56	CDS 1137	Polypedates	leucomystax	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	57	CDS 1138	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	58	CDS 1139	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	59	CDS 1140	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	60	CDS 1141	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	61	CDS 1142	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	62	CDS 1143	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	63	CDS 1144	Limnonectes	macrocephalus	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	64	CDS 1145	Limnonectes	macrocephalus	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	65	CDS 1146	Polypedates	leucomystax	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	66	CDS 1147	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	67	CDS 1148	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	68	CDS 1149	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	69	CDS 1150	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	70	CDS 1151	Sphenomorphus	cumingi	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	71	CDS 1151	Sphenomorphus	cumingi	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	72	CDS 1152	Sphenomorphus	sp. 1	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	73	CDS 1153	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	74	CDS 1154	Cuora	amboinensis	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	75	CDS 1155	Cuora	amboinensis	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	76	CDS 1155	Cuora	amboinensis	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	77	CDS 1156	Cuora	amboinensis	Philippines	Polillo	Quezon	Polillo	Pinaglubayan	"62m elev, watershed, 14deg45.155N, 121deg58.092E"																											
	E	73	78	CDS 1157	Parias	flavomaculatus	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	73	79	CDS 1157	Parias	flavomaculatus	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	73	80	CDS 1158	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	73	81	CDS 1158	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	74	1	CDS 017	Boiga	dendrephilia	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	2	CDS 018	Polypedates	leucomystax	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	3	CDS 019	Polypedates	leucomystax	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	4	CDS 020	Rana	cancrivora	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	5	CDS 021	Polypedates	leucomystax	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	6	CDS 022	Rana	cancrivora	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	7	CDS 023	Boiga	dendrephilia	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	8	CDS 024	Bufo	marinus	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	9	CDS 025	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	10	CDS 026	Bufo	marinus	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	11	CDS 027	Rana	cancrivora	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	12	CDS 028	Polypedates	leucomystax	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	13	CDS 029	Polypedates	leucomystax	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	14	CDS 030	Boiga	dendrephilia	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	15	CDS 031	Gekko	cf mindorensis	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	16	CDS 032	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	17	CDS 033	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	18	CDS 034	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	19	CDS 035	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	20	CDS 036	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	21	CDS 037	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	22	CDS 038	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	23	CDS 039	Platymantis	insulatus	Philippines	N. Gigante	Iloilo	Carles	Granada	"Arpa Cave, 25m"																											
	E	74	24	CDS 040	Platymantis	insulatus	Philippines	N. Gigante	Iloilo	Carles	Granada	"Arpa Cave, 25m"																											
	E	74	25	CDS 041	Sphenomorphus	sp.	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	26	CDS 042	Cyrtodactylus	sp.	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	27	CDS 043	Cyrtodactylus	sp.	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	28	CDS 044	Cyrtodactylus	sp.	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	29	CDS 045	Cyrtodactylus	sp.	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	30	CDS 046	Gekko	cf mindorensis	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	31	CDS 047	Platymantis	insulatus	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	32	CDS 048	Gekko	gigante	Philippines	N. Gigante	Iloilo	Carles	Granada	"Bakwitan Cave, 20m"																											
	E	74	33	CDS 049	Gekko	gigante	Philippines	N. Gigante	Iloilo	Carles	Granada	"Bakwitan Cave, 20m"																											
	E	74	34	CDS 050	Gekko	gigante	Philippines	N. Gigante	Iloilo	Carles	Asluman	"Langub Cave, 5m"																											
	E	74	35	CDS 051	Gekko	gigante	Philippines	N. Gigante	Iloilo	Carles	Asluman	"Langub Cave, 5m"																											
	E	74	36	CDS 052	Gekko	gecko	Philippines	N. Gigante	Iloilo	Carles	Asloman	0m																											
	E	74	37	CDS 053	Gekko	gigante	Philippines	N. Gigante	Iloilo	Carles	Asluman	"Langub Cave, 5m"																											
	E	74	38	CDS 054	Cyrtodactylus	sp.	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	39	CDS 055	Gekko	cf mindorensis	Philippines	S. Gigante	Iloilo	Carles	Gabi	30m																											
	E	74	40	CDS 056	Platymantis	insulatus	Philippines	N. Gigante	Iloilo	Carles	Granada	"Bakwitan Cave, 20m"																											
	E	74	41	CDS 057	Platymantis	insulatus	Philippines	N. Gigante	Iloilo	Carles	Granada	"Bakwitan Cave, 20m"																											
	E	74	42	CDS 058	Platymantis	insulatus	Philippines	N. Gigante	Iloilo	Carles	Granada	"Bakwitan Cave, 20m"																											
	E	74	43	CDS 059	Platymantis	spelaeus	Philippines	Negros	Oriental	Basay	0m																												
	E	74	44	CDS 060	Gekko	gecko	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	45	CDS 061	Polypedates	leucomystax	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	46	CDS 062	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	47	CDS 063	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	48	CDS 064	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	49	CDS 065	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	50	CDS 066	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	51	CDS 067	Gekko	gecko	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	52	CDS 067	Gekko	gecko	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	53	CDS 068	Rana	cancrivora	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	54	CDS 069	Rana	cancrivora	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	55	CDS 070	Occidozyga	laevis	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	56	CDS 071	Draco	sp.	Philippines	Guimaras	Guimaras	Buenavista		 15m																											
	E	74	57	CDS 072	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	58	CDS 073	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	59	CDS 074	Rana	sp. 1	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	60	CDS 075	Rana	sp. 1	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	61	CDS 076	Rana	sp. 1	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	62	CDS 077	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	63	CDS 078	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	64	CDS 079	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	65	CDS 080	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	66	CDS 081	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	67	CDS 082	Rana	sp. 2	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	68	CDS 082	Rana	sp. 2	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	69	CDS 083	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	70	CDS 084	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	71	CDS 085	Kaloula	picta	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	72	CDS 086	Rana	sp. 1	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	73	CDS 087	Gekko	gecko	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	74	74	CDS 1159	Eutropis	multifasciata	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	74	75	CDS 1160	Lamprolepis	smaragdina	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	74	76	CDS 1161	Lamprolepis	smaragdina	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	74	77	CDS 1162	Brachymeles	sp.	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	74	78	CDS 1163	Kaloula	picta	Philippines	Polillo	Quezon	Polillo	Poblacion	0m																											
	E	74	79	CDSGS 01	Gehyra	mutilata	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	80	CDSGS 02	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	74	81	CDSGS 03	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	75	1	CDSGS 04	Gekko	sp	Philippines	Panay	Capiz	Pilar	Natividad	0m																											
	E	75	2	CDSGS 05	Platymantis	spelaeus	Philippines	Negros	Oriental	Basay	0m																												
	E	75	3	CDSGS 06	Platymantis	spelaeus	Philippines	Negros	Oriental	Basay	0m																												
	E	75	4	CDSGS 07	Platymantis	spelaeus	Philippines	Negros	Oriental	Basay	0m																												
	E	75	5	CDSGS 08	Varanus	cf salvator	Philippines	Camiguin Sur	Camiguin	Mambajao	Balbagon	0m																											
	E	75	6	CDSGS 58	Cuora	amboinensis	Philippines	Polillo																															
	E	75	7	CDSGS 59	Cuora	amboinensis	Philippines	Polillo																															
	E	75	8	CDSGS 60	Cuora	amboinensis	Philippines	Polillo																															
	E	75	9	CDSGS 61	Cuora	amboinensis	Philippines	Polillo																															
	E	75	10	CDSGS 62	Cuora	amboinensis	Philippines	Polillo																															
	E	75	11	CDSGS 63	Cuora	amboinensis	Philippines	Polillo																															
	E	75	12	CDSGS 64	Cuora	amboinensis	Philippines	Polillo																															
	E	75	13	CDS 1235	Gekko	mindorensis	Philippines	Mindoro	Mindoro Oriental	Roxas City	Bagumbayan	"0m, LYF Hotel and restaurant"																											
	E	75	14	CDS 1236	Gekko	gecko	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	15	CDS 1237	Bronchocela	cristatella	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	16	CDS 1238	Polypedates	leucomystax	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	17	CDS 1239	Rana	mangyanum	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	18	CDS 1240	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	19	CDS 1241	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	20	CDS 1242	Polypedates	leucomystax	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	21	CDS 1243	Fejervarya	vittigera	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	22	CDS 1244	Fejervarya	vittigera	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	23	CDS 1245	Fejervarya	vittigera	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	24	CDS 1246	Hoplobatrachus	rugulosus	Philippines	Mindoro	Mindoro Oriental	Gloria	Malamig	"Sitio tipulo, Balite River, 60m elev, 12deg57.903N, 121deg22.943E"																											
	E	75	25	CDS 1247	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	26	CDS 1248	Rana	mangyanum	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	27	CDS 1249	Leptobrachium	cf hasselti	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	28	CDS 1250	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	29	CDS 1251	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	30	CDS 1252	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	31	CDS 1253	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	32	CDS 1254	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	33	CDS 1255	Eutropis	multicarinata	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	34	CDS 1256	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	35	CDS 1257	Occidozyga	laevis	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	36	CDS 1258	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	37	CDS 1259	Limnonectes	cf. acanthi	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	38	CDS 1260	Bronchocela	cristatella	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	39	CDS 1261	Gehyra	mutilata	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	40	CDS 1262	Gehyra	mutilata	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	41	CDS 1263	Bufo	marinus	Philippines	Mindoro	Mindoro Oriental	Victoria	Loyal	"Sitio Panguisan, Panguisan river, 80m elev, 13deg09.374N, 121deg12.885E"																											
	E	75	42	CDS 1441	Eutropis	multifasciata	Philippines	Sibuyan	Romblon	Magdiwang	Talaba	"Mt. Guiting-Guiting natural park, 0m elev, 12deg27.673N, 122deg39.861E"																											
	E	75	43	CDS 1442	Cyrtodactylus	sp.	Philippines	Sibuyan	Romblon	Magdiwang	Talaba	"Mt. Guiting-Guiting natural park, 0m elev, 12deg27.673N, 122deg39.861E"																											
	E	75	44	CDS 1443	Sphenomorphus	sp.	Philippines	Sibuyan	Romblon	Magdiwang	Talaba	"Mt. Guiting-Guiting natural park, 0m elev, 12deg27.673N, 122deg39.861E"																											
	E	75	45	CDS 1444	Platymantis	cf pygmea	Philippines	Sibuyan	Romblon	Magdiwang	Talaba	"Mt. Guiting-Guiting natural park, 0m elev, 12deg27.673N, 122deg39.861E"																											
	E	75	46	CDS 1447	Platymantis	cf pygmea	Philippines	Sibuyan	Romblon	Magdiwang	Talaba	"Mt. Guiting-Guiting natural park, 0m elev, 12deg27.673N, 122deg39.861E"																											
	E	75	47	CDS 1448	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	48	CDS 1449	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	49	CDS 1450	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	50	CDS 1451	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	51	CDS 1452	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	52	CDS 1453	Cosymbotus	platyurus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	53	CDS 1454	Cosymbotus	platyurus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	54	CDS 1456	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	55	CDS 1457	Cosymbotus	platyurus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	56	CDS 1458	Cosymbotus	platyurus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	57	CDS 1459	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	58	CDS 1460	Hemidactylus	frenatus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	59	CDS 1461	Gekko	monarchus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	60	CDS 1462	Gekko	monarchus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	61	CDS 1463	Gekko	monarchus	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
	E	75	62	CDS 1464	Gekko	gecko	Philippines	Maestre de Campo	Romblon	Concepcion	San Vicente	"0m elev, 12deg54.935N, 121deg43.493E"																											
